	Tweets	Sentiment
23	@tereaangnki_ Modi ji umar aur balon main kya relation hai bhai.	[0]
24	@narendramodi @PMOIndia except loosing job in Modi regime,all went well for people like me who are from telecom bac… https://t.co/29GhLmzN8J	[0]
25	"RT @SecretDurga2: #Thread Pakistan's fake support to PM Modi to confuse Hindu voters.

(1/n) Just 2 day ago. They were supporting Rahul Gan…"	[0]
26	RT @INCMaharashtra: PM Modi doesn't believe in DEBATE, DISCUSSION &amp; DISSENT, he has no courage to face questions the reason is evident, he…	[0]
27	RT @JhaSanjay: Hey PM #Modi, Pakistan PM Imran Khan loves you. He wants you back. What’s cooking, boss??? So all this hyper-nationalism is…	[0]
28	@_arun_345 @sahilbandral @suri_rajan10 Km se km president pe toh ni hai. I voted for modi in 2014. He had been a di… https://t.co/KYGMqHiJAG	[0]
29	RT @pbhushan1: By objecting to the SC examining govt docs in the Rafale deal which were concealed from SC&amp;which showed that PMO did paralle…	[0]
30	RT @tavleen_singh: From election travels the one thing that becomes clear is that the biggest issue for most people is Narendra Modi. Almos…	[1]
31	"RT @GauravPandhi: Farmers brutally expose Modi Govt at Home Minister Rajnath Singh's rally, leaving him embarrassed. 

This Govt's time is…"	[0]
32	"RT @Sanju_Verma_: Kindle👉https://t.co/5zcysK2GLH

Amazon Prime👉 https://t.co/HtOYMyMCrV 

Flipkart👉https://t.co/CgdYAt5ZXL 

My book👇,captu…"	[1]
33	RT @avinashchoubey: There are various reasons why do we need #PhirEkBaarModiSarkar ; I have tried to articulate it in an article. Thanks @U…	[0]
34	Hindustan bajana Hai Modi Ko jitana Hai	[0]
35	why not Modi ji...	[1]
36	RT @nagma_morarji: Modi's last tool for fooling the public was his biopic. But even that got banned! No one can save him. He is doomed. Peo…	[0]
37	"For me, nationalism means 'Bharat Mata Ki Jai': PM Modi
https://t.co/zL2cHhdn6u via NaMo App https://t.co/XKyq3lmqaj"	[0]
38	RT @aktalkies: Vivek Oberoi’s hopes have been dashed by the EC, which halted the Modi biopic release. But he should be used to disappointme…	[0]
39	RT @shuchikalra: My maid just told me that her entire village is going to vote for Modi because he got them road connectivity, electricity,…	[0]
40	@HindolSengupta @AnOpenLetter001 Suddenly every Libtards like, past RBI governor, small actors, writers, economists… https://t.co/71FTfgLDiE	[0]
41	"@myogiadityanath @narendramodi @rajnathsingh
@PankajSinghBJP
In Big Interview After Manifesto Release, PM Modi Says… https://t.co/4DpdgU2EwB"	[0]
42	RT @BJP4India: Modi govt has already delivered much more to the poor than what the bluff announcement of the Congress promises. Having witn…	[0]
43	"Other - apna time aayega.😎
.
.
.
.
.
Me - apna #Modi aayega
.
#AbkiBaarPhirModiSarkar
#AayegaTohModiHi #ModiOnceMore
@narendramodi 🙏🔥🙏"	[0]
44	RT @kapsology: No owner of NAMO TV on record. Chances are Pakistan is funding this channel to bring back Modi and cause more damage to Indi…	[0]
45	RT @AMIT_GUJJU: 700 paid artists who want you to not vote for Modi are nothing in front of this farmer who is benefited by every scheme of…	[0]
46	RT @POPOLOdiTWlTTER: Cgil: “Salvini sta ostacolando in tutti i modi la cittadinanza agli immigrati” https://t.co/vKKagcY13p	[0]
47	RT @Anirudh_Astro: Tomorrow is the first day of elections and as per the stars I repeat again that all the effort from opposition will not…	[0]
48	@kirti_sd @SatanicJumlas @twilightfairy @yusufiosys @AvijitSinha5 @b_k70 @Modibhakt58 @DickDarryl @SuryaYa10806826… https://t.co/2jyBtz4i6j	[0]
49	In India, an Election Unmatched in Size and Scope https://t.co/11CNg9ObpP	[1]
50	"RT @AsharJawad: Two ways to look at Pakistan PM's statement.

1. Imran has outmaneuvered Modi in only 6 months; wants Hindutva BJP re-elect…"	[0]
51	Glory Glory MAN UNITED ❤️🖤 #MUFC https://t.co/rGFgJcaaoS	[1]
52	"RT @RangDeTiranga: Since Modi has sent ""15 lakhs"" into my account therefore I will be taking a ""Bullet train"" to ""Smart City"" Ayodhya and w…"	[0]
53	RT @shuchikalra: My maid just told me that her entire village is going to vote for Modi because he got them road connectivity, electricity,…	[0]
54	@yasminsana11 @niiravmodi Modi has always been good to Pakistan whether it's imran Khan or Nawaz Sharif. He already… https://t.co/Zr2KbduC8l	[0]
55	RT @dpradhanbjp: Pro-people governance of PM Modi and his decisive leadership have generated new hope amongst the people, a stark contrast…	[1]
56	RT @Sapna_3: @ParthsarthyK Modi alone can't destroy this ecosystem, we Indians should make fellow countrymen aware and expose all greedy tr…	[0]
57	"#ModiOnceMore
""Congress is the party which snatches from the mouth of poor children to feed its leaders. It is the… https://t.co/pRClvQqVHy"	[0]
58	RT @RenukaJain6: I was fortunate to meet ex CEO of big companies. His Son in US now. His son says “ if Hindus do not vote for Mr Modi now,…	[1]
59	RT @Kari81709371: @vikashmishra_1 @mittalabhinv The face of Kashmir will change soon.enough is enough.Dekhte hai kiske pichwade me dum hai…	[0]
60	RT @LawrenceSellin: Debates over the F-16 &amp; the precision of the Balakot strike masks the larger Indian strategic victory, decoupling Pakis…	[1]
61	RT @HindolSengupta: Interesting contest of artistes. FOR PM Modi (Pandit Jasraj, Ustad Ghulam Mustafa Khan, Raja and Radha Reddy, Pandit Vi…	[1]
62	@ArvindKejriwal Once more modi because of Left alliance Maha gathbandhan not strong.	[1]
63	RT @AdityaRajKaul: What a day! Pakistan PM Imran Khan bats for return of PM Narendra Modi to power in India for peace with Pakistan. Guess…	[0]
64	RT @unicornwingss: That Gujarat folks continue to vote for Modi since 2002 make me sick, literally sick. You saw your your fellow Gujaratis…	[0]
65	RT @vinayak_jain: Election Commission bans Namo TV. What's the logic? The channel shows Narendra Modi's speeches and advertisements of BJP'…	[0]
66	RT @aktalkies: Vivek Oberoi’s hopes have been dashed by the EC, which halted the Modi biopic release. But he should be used to disappointme…	[0]
67	"RT @SecretDurga2: #Thread Pakistan's fake support to PM Modi to confuse Hindu voters.

(1/n) Just 2 day ago. They were supporting Rahul Gan…"	[0]
68	RT @seriousfunnyguy: Here's an account of Modi's work in his five years tenure that I recorded 2 months ago. The video was 13 minutes long…	[1]
69	"RT @rssurjewala: Pak has officially allied with Modi!

‘A vote for Modi is a vote for Pakistan’, says Pak PM Imran Khan 

मोदीजी, पहले नवा…"	[0]
70	"RT @muglikar_: Data is out. FDI inflows in USD billion

1.2013-14:  36.05 (Mannu) 
2.2014-15:  45.15 (Chaiwala) 
3.2015-16:  55.56
4.2016-1…"	[0]
71	Pak under Imran Khan certainly has an upper hand if Modi is elected again. https://t.co/r8t432jjyh	[0]
72	"Boxes of notes unearthed in I-T raids reveal who the real chor is, says PM Modi
https://t.co/dS1fIMkxlV via NaMo App https://t.co/6UiHiRKtN9"	[1]
73	"RT @hiambuj: Narendra Modi's Pakistan relations EXPLAINED.
Watch till end. https://t.co/sHQsBXvrNb"	[0]
74	RT @rose_k01: Sab Parties keh rahi hain yeh deinge woh deinge Lekin sawaal wohi hai Modi ji ke aane se pehle kyun nhi diya ?? https://t.co/…	[1]
75	RT @smitaprakash: I don't know who did this, but it is quite funny. 😀 Also I notice, Imran is not facing any backlash from fundoos in Pak f…	[0]
76	मोदीजी की बायोपिक पर रोक लगी, अब रैलियों में ख़ुद करके दिखाएँगे सारे सीन https://t.co/QCbPeTc1Ko	[0]
77	"RT @PandeyShivya: This little chowkidar knows what India needs. 😎

A message for you sir @narendramodi

Vote For Modi 

#LokSabhaElections2…"	[1]
78	"RT @ragarwal: @INCIndia Compare it with this list of artists backing Modi. Fluff vs substance?
https://t.co/90F7l6paYq"	[0]
79	RT @sanjaynirupam: Finally #Modi has got open support from Pakistan.Pakistan was broken into two pieces during Congress regime. Naturally i…	[0]
80	RT @AdityaRajKaul: What a day! Pakistan PM Imran Khan bats for return of PM Narendra Modi to power in India for peace with Pakistan. Guess…	[0]
81	"RT @GauravPandhi: Farmers brutally expose Modi Govt at Home Minister Rajnath Singh's rally, leaving him embarrassed. 

This Govt's time is…"	[0]
82	@vivekagnihotri Ye wo hai jinko sayad kuch jante ho per Ek Wo hai Jiso Ye aur Hindustan ka Har inshan janta hai iss… https://t.co/2fFlVCcjmE	[0]
83	"பிரச்சாரமா பண்றாங்க?
கிழித்தெறிந்த நாஞ்சில் சம்பத்
#Modi #BJP #Election2019

முழு வீடியோ : https://t.co/0pryaXugte https://t.co/0pryaXugte"	[0]
84	RT @MukeshChoubis10: Pandit Jasraj among 907 in support of Modi https://t.co/unjkhXcIa5 via @newsbred	[1]
85	RT @narendramodi: सेक्युलरिज्म के नाम पर सम्प्रदायवाद करने वालों को अब परिणाम सामने दिख रहा है। अपनी डूबती नैया बचाने के लिए वे संप्रदाय वि…	[0]
86	RT @SarcasticRofl: Reason for this Blushing smile &amp; satisfaction on charming face of @sambitswaraj Modi 😻😹🙊 https://t.co/Ptc4SDjzH9	[1]
ttps://t.co/sYvYBzJ4p6	[1]
ike a Central Asian…	[0]
88	RT @realDennisLynch: @IlhanMN The TRAVEL BAN is designed to protect Americans. Like me, @realDonaldTrump lived 9/11. We understand radical…	[1]
89	"RT @dbongino: Barr: 'Spying did occur' on Trump campaign
The gig is up. https://t.co/Cnp54WO5dM"	[0]
90	"RT @TheManWithAnAim: Attention, parents:

If you're contemplating 'paying someone' to secure a college education for your children, know th…"	[0]
91	"""Trump Returns to Texas to Hone 2020 Immigration Message"" by MICHAEL D. SHEAR and SYDNEY EMBER via NYT… https://t.co/4oE74hrUlm"	[1]
